Event Number,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
0,0,0.0,52,3.1755176825867943,False
1,0,0.0,49,1.387229640389189,False
2,0,0.0,48,13.125336723981015,False
3,0,0.0,67,5.978456464889058,False
4,0,0.0,38,1.6014186370166767,False
5,0,0.0,50,2.9090058815613116,False
6,0,0.0,27,0.5260926901421586,False
7,0,0.0,38,1.6881107262190982,False
8,0,0.0,44,4.861281841214512,False
9,0,0.0,54,7.981784333783422,False
10,0,0.0,50,4.082232982521543,False
11,0,0.0,43,1.8322992662941004,False
12,0,49.21641295986035,55,3.070996282359794,False
13,2,0.677655979036431,60,1.0923597553075988,False
14,0,14.500170243388723,66,3.5233230094577204,False
15,0,0.0,28,0.9006666489946176,False
16,0,0.0,55,2.4549163854795513,False
17,0,0.0,42,0.47905078219429537,False
18,0,0.0,36,2.1652318337563945,False
19,0,0.0,82,6.794054726956288,False
20,0,0.0,45,7.901635694492133,False
21,0,0.0,50,4.0288020030642,False
22,0,0.0,55,3.596947650095178,False
23,2,4.747405759230998,51,4.208746600373366,False
24,0,0.0,40,0.20572241548643935,False
25,0,0.0,34,0.5573820489838995,False
26,0,6.440125112878981,54,2.974145191048312,False
27,0,0.0,57,0.3897814586953151,False
28,1,2.55851572153957,47,3.202948800216953,False
29,0,0.0,53,5.922506631895168,False
30,0,0.0,42,0.5268837648857123,False
31,0,0.0,74,6.714921394652665,False
32,0,0.0,35,0.491822676319323,False
33,0,8.145509841966277,57,4.485245285057789,False
34,0,0.0,24,0.19787642727539498,False
35,0,408.9115885254673,36,22.512442612100386,False
36,0,0.0,57,3.653518643856185,False
37,0,15.3550375374949,74,4.893155798578649,False
38,0,7.1030062806513845,73,2.5552763051236944,False
39,0,3.1681892814726673,51,10.94457313144459,False
40,1,4.151874468078087,35,3.0404662358114294,False
41,0,55.21746839733382,57,11.931638697856146,False
42,0,0.0,50,7.85691904721072,False
43,1,33.394718909106764,27,0.0,False
44,0,3.5682761043195868,47,2.059912339792765,False
45,0,0.0,52,2.464329657588444,False
46,0,0.0,41,0.9792543793256985,False
47,0,0.0,45,1.0324946639231665,False
48,0,0.0,68,1.3742855960234646,False
49,0,38.409942343877574,60,5.341519860890412,False
50,0,0.0,53,0.8941979371392846,False
51,0,0.0,68,4.867981338617324,False
52,0,0.0,57,11.174815147473847,False
53,0,0.0,67,1.6587444623996177,False
54,1,3.8712122484846487,32,0.8250397191805376,False
55,0,0.0,34,0.28599758555492294,False
56,2,0.0,49,3.9698394922667624,False
57,0,0.0,64,2.10044343661852,False
58,0,0.0,38,0.6713503294081465,False
59,0,0.0,49,7.821966819466271,False
60,0,5.26322683071146,59,8.774453168108016,False
61,1,10.202908750768884,61,2.661067226365742,False
62,0,8.282529772695037,58,4.384624279883336,False
63,0,0.0,40,4.221841315705554,False
64,0,0.0,44,0.7662169894083432,False
65,0,0.0,61,10.560843498669,False
66,0,11.883764072485924,44,8.74901457026146,False
67,0,77.94573163153188,61,7.897573545977024,False
68,0,0.0,37,0.6199627773375841,False
69,0,0.0,54,1.6222392551448996,False
70,0,375.81979147145415,41,9.92451403405871,False
71,0,1.151866755935203,40,0.7797018295023206,False
72,0,0.0,43,2.6022017842861764,False
73,0,0.0,42,5.410991196794746,False
74,0,0.0,24,1.6067341475367625,False
75,0,57.858205770928365,25,2.05752350542195,False
76,0,1.1753014678433824,51,2.7621390115912963,False
77,0,0.0,60,8.177144888143928,False
78,2,33.021479565038284,55,11.435718988842867,False
79,1,1.337013674094696,55,5.93267042057893,False
80,0,0.0,40,1.5105389580932993,False
81,0,0.0,32,2.099042551592825,False
82,0,0.0,30,1.0297205797118092,False
83,1,2.499949017337548,33,1.3959181709942587,False
84,0,0.0,74,14.191723972677039,False
85,2,3.0456493629090713,51,3.0774888049069093,False
86,0,0.0,49,3.546204515120148,False
87,2,23.105069843929538,52,3.1598994420630837,False
88,1,0.0,39,0.411570181153624,False
89,1,18.309200650531704,56,14.292080474517265,False
90,0,0.0,49,6.416254084913878,False
91,0,0.0,28,0.10709993440804302,False
92,0,94.52282289362651,36,16.569147413577735,False
93,0,0.0,59,3.742553315552213,False
94,0,1.0402625553470748,52,11.96617232101154,False
95,0,0.0,40,5.043197016598621,False
96,0,1.4977908373684645,58,7.222681668631135,False
97,0,0.0,38,1.5578238793470132,False
98,0,4.928924439348533,49,16.871645582652462,False
99,0,7.249112103654624,67,19.25915980422258,False
100,1,7.884596943215649,63,6.56688765945171,False
101,0,0.0,55,8.180985615866197,False
102,1,9.064845798251255,51,2.815751231902657,False
103,2,4.938161041982327,63,7.246360102487664,False
104,0,0.0,39,0.9432803832667342,False
105,0,0.0,43,1.72376235651278,False
106,0,1.4161631162942663,68,1.7112121513117056,False
107,0,0.0,30,2.0680257135908238,False
108,1,0.8696099308866662,34,4.433051759660967,False
109,0,0.0,51,1.4750723992908772,False
110,0,0.0,32,0.9044299482761557,False
111,0,29.330759621910765,27,1.0890631593896196,False
112,0,1.1539687070011362,55,2.9584738659197924,False
113,0,12.836497733642613,50,3.214119824348239,False
114,0,20.09755806254187,55,16.320273327945408,False
115,0,2.183383731796811,35,0.6675528284550741,False
116,0,0.0,38,0.30086281900865064,False
117,0,8.204163753769485,66,6.242301846572413,False
118,0,0.0,19,0.2788738939241851,False
119,0,5.256920387862088,53,5.822875327541386,False
120,0,0.0,42,1.5045042976943233,False
121,1,2.9742027467863434,61,13.297458379727983,False
122,0,0.0,51,1.476823016551074,False
123,2,5.494451693480392,42,0.4542071165625413,False
124,0,21.562902598738905,30,4.210970553768431,False
125,0,0.0,60,4.911950940371478,False
126,0,0.0,38,1.8504397332884843,False
127,0,1.3206895432007688,33,0.5359747661162461,False
128,2,0.0,34,1.4409585790812052,False
129,1,1.6562934805145284,34,3.065145688672046,False
130,0,0.0,57,5.802538654437263,False
131,2,0.0,60,10.508689399510773,False
132,1,7.17029769287654,14,2.0895980980284694,False
133,0,0.0,34,0.6441153254879168,False
134,0,1.1801183358984313,47,1.249894694755125,False
135,0,1.9632792243708361,45,3.873528419538425,False
136,0,14.745536269095302,62,7.093996360032825,False
137,1,48.50812247386918,60,6.471501985408108,False
138,0,5.549210772417089,40,0.9833286027013628,False
139,1,0.0,48,3.203338678886647,False
140,0,5.920689792108425,45,10.170617330297336,False
141,0,0.0,64,1.8940156043046659,False
142,0,1.0010711591931207,57,2.2793756878032188,False
143,0,0.0,42,0.7454781766462594,False
144,0,0.0,56,2.5076629407298916,False
145,0,0.0,28,0.53537322632361,False
146,0,0.0,34,1.6853062155090137,False
147,0,0.0,42,1.2862217008458723,False
148,1,8.1805563198373,57,6.099935946543014,False
149,0,315.18448572278373,43,15.563178758500044,False
150,0,8.381524298793957,56,4.646895128769148,False
151,0,0.0,69,3.4503508417975457,False
152,0,0.0,45,3.7810267535786406,False
153,0,7.66494612122797,38,2.645332424572023,False
154,0,0.0,36,0.13358679868076379,False
155,1,78.05606737073519,47,9.193350201691576,False
156,0,0.0,53,1.7688968698840823,False
157,0,0.0,60,4.961747223140786,False
158,0,1.2455968074070607,72,2.754214183223958,False
159,1,4.972645638077239,48,2.6308377948830057,False
160,0,0.0,31,1.2038496411839745,False
161,2,29.00555549622635,68,5.591530040667743,False
162,0,2.22153158099163,51,4.442570898713046,False
163,0,18.744789274672254,70,6.179875644226222,False
164,0,0.0,61,10.256109419135012,False
165,2,12.096777102452087,47,14.110395080340004,False
166,0,0.0,47,0.41907848852943974,False
167,1,12.660398137830835,51,2.2467961857643797,False
168,1,1.915398561253694,50,2.171602919364243,False
169,0,0.0,24,1.3557083002765227,False
170,0,0.0,61,3.195649296508314,False
171,0,0.0,61,1.4584108631661863,False
172,1,19.91194064387989,43,1.3584796191718165,False
173,0,0.0,67,4.981504883814936,False
174,0,1.9052064502217967,53,4.531427067609217,False
175,0,0.0,56,3.0494806455841723,False
176,2,0.0,50,5.457327216440527,False
177,0,0.0,65,10.776422690368653,False
178,1,33.240498472179965,64,4.5768846447108285,False
179,0,0.0,56,5.1941484839482195,False
180,0,73.50789542311034,51,5.222514365921994,False
181,3,0.0,35,5.328193097607858,False
182,0,0.0,61,2.083775143322223,False
183,0,0.0,42,0.7780974580308629,False
184,0,0.0,35,2.3475215208914566,False
185,0,1.1508931290446733,62,9.0739596574828,False
186,0,12.675830209524399,79,7.817429399761793,False
187,0,0.0,46,0.6940668911729603,False
188,0,3.2413552489604385,59,2.7052322933093413,False
189,1,23.13841442444708,56,8.529338410474137,False
