Event Number,HT,MET,MR,Rsq,Dark Photon Produced
0,52.63588170904697,0.0,13999.999999866504,0.0,False
1,27.352368735044553,0.0,13999.999999999995,0.0,False
2,356.12323947065516,0.0,14000.000000707656,0.0,False
3,213.93449273933987,0.2674457586767602,13959.135085590236,1.1745175158838762e-06,False
4,48.841930627503174,0.0,13999.99999999994,0.0,False
5,44.790739923728225,0.0,14000.000000019665,0.0,False
6,22.519174014039063,0.0,14000.000000000005,0.0,False
7,55.88107712319926,0.0,13999.99999999987,0.0,False
8,84.6129089288649,0.0,13999.999998640486,0.0,False
9,161.14415840896388,0.0,13999.999999937949,0.0,False
10,67.98778641658917,0.0,14000.000000000005,0.0,False
11,44.77511746240627,0.0,14000.000000002869,0.0,False
12,76.19802839759168,0.0,14000.000000261882,0.0,False
13,45.52711581256188,0.0,14000.0,0.0,False
14,110.28084497354384,0.5270349935401514,13999.431897217159,1.1862567700597227e-06,False
15,21.627198658367025,0.0,14000.000001077957,0.0,False
16,54.13879991716825,0.0,14000.00000000574,0.0,False
17,25.34010028778908,0.0,13999.999999999276,0.0,False
18,59.15735822483574,0.0,13999.99999969632,0.0,False
19,183.4258721510162,0.0,13999.999999948042,0.0,False
20,189.9497591630912,0.0,14000.000000006872,0.0,False
21,63.82122403670006,0.0,13999.999999999984,0.0,False
22,82.47431887863941,0.0,14000.000000111382,0.0,False
23,139.21894109886895,0.0,14000.000008653116,0.0,False
24,30.87969565494755,0.0,13999.999999999985,0.0,False
25,21.529779074462006,0.0,13999.999999990769,0.0,False
26,77.1755937577486,0.0,13999.999998583506,0.0,False
27,36.59486898835624,0.0,14000.000000101965,0.0,False
28,68.32496378883897,0.0,14000.00000001673,0.0,False
29,67.18279594820763,0.0,13999.99999997228,0.0,False
30,25.02262259564134,0.0,13999.999999999993,0.0,False
31,185.6192316813163,0.0,13999.999999999738,0.0,False
32,23.545707395077187,0.0,14000.000000030612,0.0,False
33,110.76370656255794,0.0,14000.000000009855,0.0,False
34,19.924398019758833,0.0,14000.000000000175,0.0,False
35,417.3523117449456,0.0,14000.000000009968,0.0,False
36,99.29216075503179,0.0,14000.000000000771,0.0,False
37,121.30741020861751,0.0,13999.999999888943,0.0,False
38,96.65235517183265,0.0,14000.000004684292,0.0,False
39,240.11098741920136,0.0,13999.999999967808,0.0,False
40,28.08227757696951,0.0,13999.999999653532,0.0,False
41,264.3655545309717,0.0,13999.999999973234,0.0,False
42,164.51618088879374,0.0,14000.000000009391,0.0,False
43,21.002920361125838,0.0,14000.00000000002,0.0,False
44,39.86229977900268,1.3256967091159966,13996.45686434205,1.0790220019934007e-06,False
45,101.94358366064516,0.0,14000.000000049959,0.0,False
46,26.204376831318232,0.0,13999.999999996431,0.0,False
47,55.20728800680574,0.0,13999.999999936865,0.0,False
48,81.85978330043766,0.0,14000.000002279781,0.0,False
49,132.06633510196508,0.0,14000.000000018104,0.0,False
50,57.670174509947216,0.0,14000.000000000711,0.0,False
51,79.17159033295884,0.0,14000.000000047534,0.0,False
52,257.5677846616698,0.0,13999.999999971595,0.0,False
53,79.66007986317398,0.0,13999.99999984963,0.0,False
54,38.62276739162467,0.0,14000.000000008578,0.0,False
55,21.133128395792237,0.0,13999.999999995516,0.0,False
56,116.49612562640924,0.0,14000.000000093383,0.0,False
57,78.36396460995168,0.0,14000.00000095954,0.0,False
58,37.69262858463836,0.0,14000.000000000002,0.0,False
59,228.5030206140968,0.0,14000.000000061971,0.0,False
60,236.08819314725815,0.0,13999.999999961063,0.0,False
61,66.22279503343765,0.0,14000.00000000336,0.0,False
62,117.65835953129137,0.0,14000.000000032578,0.0,False
63,69.3576059721518,0.0,14000.000000745054,0.0,False
64,33.96808410742584,0.0,14000.000000062888,0.0,False
65,158.36488799453613,0.0,13999.999999998632,0.0,False
66,252.25583490529118,1.7891569363345348,13932.549932038342,9.300117425927777e-06,False
67,194.6092714159906,0.0,13999.999998825342,0.0,False
68,28.6056481711606,0.0,13999.999999995263,0.0,False
69,39.82533185110995,0.0,13999.999999999762,0.0,False
70,293.02383377593384,0.0,14000.000000152486,0.0,False
71,29.378462942406948,0.0,13999.999999999998,0.0,False
72,38.96155339918039,0.0,14000.00000000028,0.0,False
73,80.78855470001827,0.0,14000.000000260434,0.0,False
74,35.12195657274625,0.0,13999.999999999935,0.0,False
75,36.10749305709844,0.0,13999.999999963195,0.0,False
76,48.31068341756854,0.0,13999.99999999998,0.0,False
77,123.2591042376504,0.0,13999.999999647776,0.0,False
78,279.6269152383074,0.0,14000.000000002328,0.0,False
79,194.3579304907599,0.0,13999.99999937689,0.0,False
80,64.16255617799698,0.0,14000.000004352769,0.0,False
81,68.32617588093188,0.0,13999.999997870797,0.0,False
82,27.254555040838472,0.0,14000.00000001392,0.0,False
83,34.87272780781738,0.0,14000.00000000001,0.0,False
84,236.60784308428526,0.0,14000.000000002856,0.0,False
85,85.71939855550833,0.0,14000.000004731513,0.0,False
86,111.99473076173304,0.0,13999.999999935648,0.0,False
87,98.58253155829732,0.0,13999.999999816615,0.0,False
88,25.45953229061404,1.452829555252009,13997.778087633176,7.5510417285365e-07,False
89,233.04706982199735,0.7341068068264021,13995.346806710608,3.493780040655954e-06,False
90,86.06305093695813,0.0,13999.999999994032,0.0,False
91,24.94193680627851,0.0,13999.999999999836,0.0,False
92,342.3218752101161,0.0,13999.999996739061,0.0,False
93,105.72015630031825,0.0,14000.000000797292,0.0,False
94,230.21408339178717,0.0,14000.000001016144,0.0,False
95,44.620177980165316,0.0,14000.000000064354,0.0,False
