Event Number,HT,MET,MR,Rsq,Invariant Mass,Sum E_T,Centrality,Sphericity,Aplanarity,Cos(Theta) Jet-MET,Delta R (Avg),Jet Multiplicity,Lepton Multiplicity,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
32,23.545707395077187,0.0,14000.000000030612,0.0,14000.000000030612,23.545707395077187,0.001681836242501836,15.019346817611751,5.39340753986767,0.0,6.184633033420512,41,0,0,0.0,33,0.7581768803502529,False
33,110.76370656255794,0.0,14000.000000009855,0.0,14000.000000009855,110.76370656255794,0.007911693325891426,66.20799275140556,31.22026238377559,0.0,5.117113584276261,169,2,0,17.760655962452088,21,7.66733041740577,False
34,19.924398019758833,0.0,14000.000000000175,0.0,14000.000000000175,19.924398019758833,0.0014231712871256132,7.469173853569748,3.6674395209231117,0.0,6.933292806688741,27,0,0,0.0,22,0.3155393551379091,False
35,417.3523117449456,0.0,14000.000000009968,0.0,14000.000000009968,417.3523117449456,0.02981087941033203,211.15554735505495,100.07196018083405,0.0,4.464316826175038,410,7,0,2004.5240823420102,11,43.318003933348706,False
36,99.29216075503179,0.0,14000.000000000771,0.0,14000.000000000771,99.29216075503179,0.007092297196787594,66.6327022542936,28.04437605050611,0.0,4.810011339652724,138,0,0,0.0,28,7.471170536614302,False
37,121.30741020861751,0.0,13999.999999888943,0.0,13999.999999888943,121.30741020861751,0.008664815014969985,93.0762107977642,45.15289689970827,0.0,4.792013971443811,164,2,0,39.67432055709105,31,9.237788168656394,False
38,96.65235517183265,0.0,14000.000004684292,0.0,14000.000004684292,96.65235517183265,0.006903739652820966,61.40810154317502,22.84019689709468,0.0,5.352943100569832,146,2,0,36.931999024573045,40,5.626124227288218,False
39,240.11098741920136,0.0,13999.999999967808,0.0,13999.999999967808,240.11098741920136,0.01715078481569668,112.02869251327925,50.4866839579241,0.0,4.999496384036373,255,2,0,0.719247157374018,18,16.942187776843443,False
40,28.08227757696951,0.0,13999.999999653532,0.0,13999.999999653532,28.08227757696951,0.0020058769698331775,18.872132220879283,5.616231656622634,0.0,5.536184613433156,44,2,0,0.1222266424388913,34,3.570543644263734,False
41,264.3655545309717,0.0,13999.999999973234,0.0,13999.999999973234,264.3655545309717,0.01888325389510551,195.86374677383003,83.50752481002434,0.0,4.703164347002969,278,5,0,29.71423462494235,15,22.265355790892038,False
42,164.51618088879374,0.0,14000.000000009391,0.0,14000.000000009391,164.51618088879374,0.011751155777763098,115.07622229572921,48.65273686552058,0.0,4.745176064545618,198,0,0,0.0,25,14.652074976668478,False
43,21.002920361125838,0.0,14000.00000000002,0.0,14000.00000000002,21.002920361125838,0.001500208597223272,8.63027736301137,1.5570972294374275,0.0,6.240363116232463,36,2,0,179.67919483443004,23,0.4046530234243581,False
44,39.86229977900268,1.3256967091159966,13996.45686434205,1.0790220019934007e-06,13996.456801559312,39.86229977900268,0.0028480278307008488,19.568371831518338,5.770919320067433,-0.28874267271148324,6.387974125994874,59,1,0,0.0,36,3.796172417778493,False
45,101.94358366064516,0.0,14000.000000049959,0.0,14000.000000049959,101.94358366064516,0.007281684547162956,49.515354317345455,21.46749536557119,0.0,5.0760140034477805,131,0,0,0.0,31,4.444571577729073,False
46,26.204376831318232,0.0,13999.999999996431,0.0,13999.999999996431,26.204376831318232,0.0018717412022374938,19.938827416440635,8.125099266717683,0.0,6.403594295976333,43,0,0,0.0,36,1.3220936673728167,False
47,55.20728800680574,0.0,13999.999999936865,0.0,13999.999999936865,55.20728800680574,0.003943377714789622,40.80236193296803,12.82318115256217,0.0,5.586393971289382,97,0,0,0.0,25,3.36040391972785,False
48,81.85978330043766,0.0,14000.000002279781,0.0,14000.000002279781,81.85978330043766,0.005847127377650535,41.132009886731694,18.080406105499012,0.0,5.474894790517964,96,0,0,0.0,36,3.891760662938731,False
49,132.06633510196508,0.0,14000.000000018104,0.0,14000.000000018104,132.06633510196508,0.009433309650128164,93.40189074199122,38.78146440135768,0.0,4.78618706279471,149,1,0,322.70008819909265,37,11.646073595640694,False
50,57.670174509947216,0.0,14000.000000000711,0.0,14000.000000000711,57.670174509947216,0.004119298179281735,41.486182943980616,14.04410689011792,0.0,5.661247269322991,98,0,0,0.0,38,2.3661717871301553,False
